date,mean_temperature,max_temperature,min_temperature,mean_relative_humidity,max_relative_humidity,mean_wind_speed,max_wind_speed,max_wind_gust,precipitation_sum,mean_vpd,max_vpd,mean_cloud_cover,mean_dew_point,mean_apparent_temperature,max_apparent_temperature,min_apparent_temperature
2007-08-03,25.554166666666664,29.6,23.2,81.0,95.0,13.466666666666667,15.8,36.4,3.3000000000000003,0.6654166666666667,1.48,95.625,21.90833333333333,28.516666666666666,33.3,26.4
2007-08-04,25.929166666666664,30.1,23.5,77.625,89.0,16.479166666666668,20.6,43.6,0.6000000000000001,0.7920833333333334,1.66,99.04166666666667,21.599999999999998,28.329166666666666,33.2,25.9
2007-08-05,25.5,29.1,22.6,79.00416666666666,95.0,18.5,22.6,43.9,32.8,1.9716666666666667,32.1,96.20708333333333,21.195833333333333,27.681250000000002,32.1,25.0
2007-08-06,24.120833333333334,26.4,22.6,89.83333333333333,95.0,15.3375,17.8,38.5,10.2,0.31416666666666665,0.67,99.95833333333333,22.3125,26.958333333333332,29.4,25.0
2007-08-07,25.712500000000002,30.6,23.2,80.08333333333333,92.0,15.049999999999999,18.2,46.4,1.7000000000000002,0.7087500000000001,1.76,83.70833333333333,21.875,28.516666666666666,34.4,26.1
2007-08-08,26.166666666666668,30.5,23.2,77.66666666666667,90.0,17.070833333333333,21.8,45.0,0.7000000000000001,0.815,1.73,55.0,21.78333333333333,28.6125,33.5,25.9
2007-08-09,26.020833333333332,30.3,23.2,77.97083333333333,92.0,16.133333333333333,23.2,42.8,34.1,2.122916666666667,34.1,89.04625,21.425,28.787499999999998,34.1,26.1
2007-08-10,24.708333333333332,27.5,23.2,88.16666666666667,94.0,13.0,14.7,43.6,10.4,0.3829166666666666,0.84,97.08333333333333,22.570833333333336,28.02916666666667,31.2,26.3
2007-08-11,26.34166666666667,30.7,23.2,73.82083333333334,91.0,13.304166666666667,23.2,34.9,29.700000000000003,2.28375,34.1,91.90416666666665,20.633333333333333,29.129166666666666,34.1,26.1
2007-08-12,26.579166666666666,31.1,23.0,73.21249999999999,91.0,12.1,23.0,29.5,30.0,2.3279166666666664,34.3,95.69749999999999,20.7,29.464583333333334,34.3,25.9
2007-08-13,27.03333333333333,32.1,22.9,71.87916666666666,92.0,11.170833333333334,22.9,33.1,31.0,2.5404166666666668,37.1,92.21625,20.75,30.37708333333333,37.1,26.1
2007-08-14,27.275000000000002,32.3,22.4,68.8875,93.0,10.041666666666666,22.4,25.9,30.7,2.6666666666666665,36.8,69.63625,20.183333333333334,30.508333333333336,36.8,25.8
